"","ticker","name","sector","industry","PE_ratio","market_cap","short_name"
"1","AAL","American Airlines Group, Inc.","Industrials","Airlines",5.748954,8979647157,"Ameri. Air."
"2","AAPL","Apple Inc.","Technology","Consumer Electronics",31.40783,2994371342560,"Apple"
"3","ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers—General",42.457534,273605334132,"AbbVie"
"4","ABT","Abbott Laboratories","Healthcare","Medical Devices",37.438776,191087963057,"Abbott Lab."
"5","ACGL","Arch Capital Group Ltd.","Financial Services","Insurance—Diversified",9.583226,27715477681,"Arch Capit."
"6","ACN","Accenture plc","Technology","Information Technology Services",30.932219,208876066241,"Accenture"
"7","ADBE","Adobe Inc.","Technology","Software—Infrastructure",54.946942,278192853000,"Adobe"
"8","ADI","Analog Devices, Inc.","Technology","Semiconductors",29.367939,95385475486,"Analog Dev."
"9","ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products",10.044506,38520794236,"Arch. Da. Mi."
"10","ADP","Automatic Data Processing, Inc.","Industrials","Staffing & Employment Services",27.668646,95821675062,"Auto. Da. Pr."
"11","ADSK","Autodesk, Inc.","Technology","Software—Application",49.039702,42292820000,"Autodesk"
"12","AEE","Ameren Corporation","Utilities","Utilities—Regulated Electric",16.403628,19021444772,"Ameren"
"13","AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",18.62844,42711651075,"Amer. El. Po."
"14","AFL","AFLAC Incorporated","Financial Services","Insurance—Life",11.30137,48211340842,"AFLAC orpo."
"15","AIG","American International Group, I","Financial Services","Insurance—Diversified",11.762153,47563233238,"Amer. In. I"
"16","AIZ","Assurant, Inc.","Financial Services","Insurance—Specialty",17.157841,8860993563,"Assurant"
"17","AJG","Arthur J. Gallagher & Co.","Financial Services","Insurance Brokers",43.246154,48554065680,"Arth. J Gall."
"18","AKAM","Akamai Technologies, Inc.","Technology","Software—Infrastructure",35.755287,17850916072,"Akamai Tec."
"19","ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals",5.121588,16955200738,"Albemarle"
